Full Name                bats  throws  weight  height
Kurt Ainsworth           R     R       192     75    
Jack Aker                R     R       190     74    
Darrel Akerfelds         R     R       210     74    
R. J. Alaniz             R     R       220     76    
Jonathan Albaladejo      R     R       270     77    
Joe Albanese             R     R       215     75    
Jose Alberro             R     R       190     74    
Andrew Albers            R     L       200     73    
Matt Albers              L     R       225     73    
Butch Alberts            R     R       205     74    
Jorge Alcala             R     R       205     75    
Santo Alcala             R     R       195     77    
Raul Alcantara           R     R       220     76    
Sandy Alcantara          R     R       200     77    
Victor Alcantara         R     R       190     74    
Scott Aldred             L     L       195     76    
Jay Aldrich              R     R       210     75    
Chuck Aleno              R     R       215     73    
Bob Alexander            R     R       205     74    
Dale Alexander           R     R       210     75    
Doyle Alexander          R     R       190     75    
Gary Alexander           R     R       195     74    
Jason Alexander          R     R       227     74    
Scott Alexander          L     L       195     74    
Tyler Alexander          R     L       203     74    
A. J. Alexy              R     R       195     76    
Jorge Alfaro             R     R       230     75    
Antonio Alfonseca        R     R       250     77    
Anthony Alford           R     R       215     73    
Andy Allanson            R     R       220     77    
Kolby Allard             L     L       195     73    
Cam Alldred              L     L       205     75    
Austin Allen             L     R       219     74    
Brandon Allen            L     R       230     74    
Chad Allen               R     R       195     73    
Cody Allen               R     R       210     73    
Dusty Allen              R     R       215     76    
Logan Allen              R     L       200     75    
Luke Allen               L     R       208     74    
Ron Allen                B     R       205     75    
Nick Allgeyer            L     L       225     75    
Gair Allie               R     R       190     73    
Bob Allison              R     R       205     75    
Dana Allison             R     L       215     75    
Armando Almanza          L     L       205     75    
Edwin Almonte            R     R       200     75    
Erick Almonte            R     R       245     74    
Hector Almonte           R     R       190     74    
Miguel Almonte           R     R       210     73    
Yency Almonte            R     R       223     77    
Albert Almora            R     R       190     74    
Luis Aloma               R     R       195     74    
Sandy Alomar             R     R       200     77    
Pete Alonso              R     R       253     74    
Yonder Alonso            L     R       230     73    
Jesus Alou               R     R       190     74    
Tom Alston               L     R       210     77    
Walter Alston            R     R       195     74    
Aaron Altherr            R     R       215     77    
George Altman            L     R       200     76    
Abe Alvarez              L     L       190     74    
Pedro Alvarez            L     R       250     75    
R. J. Alvarez            R     R       238     73    
Tavo Alvarez             R     R       245     75    
Tony Alvarez             R     R       200     73    
Yordan Alvarez           L     R       225     77    
Brant Alyea              R     R       215     75    
Adbert Alzolay           R     R       208     73    
Chip Ambres              R     R       190     73    
Hector Ambriz            L     R       235     74    
Trey Amburgey            R     R       210     74    
Steve Ames               R     R       205     73    
Walter Ancker            R     R       190     73    
Larry Andersen           R     R       200     75    
Bob Anderson             R     R       210     76    
Brett Anderson           L     L       230     76    
Brian Anderson           B     L       190     73    
Brian Anderson           R     R       220     74    
Brian Anderson           R     R       215     74    
Bryan Anderson           L     R       200     73    
Bud Anderson             R     R       210     75    
Chase Anderson           R     R       210     73    
Cody Anderson            R     R       240     76    
Craig Anderson           R     R       205     74    
Drew Anderson            L     R       195     74    
Drew Anderson            R     R       205     75    
Ferrell Anderson         R     R       200     73    
Garret Anderson          L     L       190     75    
Harry Anderson           L     R       205     75    
Jimmy Anderson           L     L       195     73    
John Anderson            R     R       190     73    
Josh Anderson            L     R       195     74    
Justin Anderson          L     R       230     75    
Larry Anderson           R     R       190     75    
Lars Anderson            L     L       215     76    
Matt Anderson            R     R       200     76    
Mike Anderson            R     R       200     74    
Mike Anderson            R     R       200     75    
Nick Anderson            R     R       205     76    
Red Anderson             R     R       210     75    
Rick Anderson            R     R       210     74    
Scott Anderson           R     R       190     78    
Shaun Anderson           R     R       228     78    
Tanner Anderson          R     R       203     74    
Tyler Anderson           L     L       220     74    
Steve Andrade            R     R       220     73    
John Andre               L     R       200     76    
John Andreoli            R     R       218     73    
Ernie Andres             R     R       200     73    
Ivy Andrews              R     R       200     73    
Mike Andrews             R     R       195     75    
Shane Andrews            R     R       215     73    
Matt Andriese            R     R       215     74    
Rick Ankiel              L     L       210     73    
Eric Anthony             L     L       195     74    
Dustin Antolin           R     R       230     74    
Tejay Antone             R     R       230     76    
Matt Antonelli           R     R       195     73    
Sherten Apostel          R     R       235     76    
Mark Appel               R     R       220     77    
Aristides Aquino         R     R       220     76    
Greg Aquino              R     R       190     73    
Jayson Aquino            L     L       225     73    
Victor Arano             R     R       242     74    
Elvis Araujo             L     L       275     79    
Pedro Araujo             R     R       215     75    
Chris Archer             R     R       195     74    
Dan Ardell               L     L       190     74    
Nolan Arenado            R     R       215     74    
J. P. Arencibia          R     R       210     73    
Gabriel Arias            R     R       217     73    
Kohei Arihara            R     R       210     74    
Buzz Arlett              B     R       225     75    
Steve Arlin              R     R       195     75    
Marcos Armas             R     R       190     77    
Tony Armas               R     R       205     76    
Rogelio Armenteros       R     R       244     73    
Jack Armstrong           R     R       220     77    
Mike Armstrong           R     R       193     75    
Shawn Armstrong          R     R       225     74    
Larry Arndt              R     R       195     73    
Jamie Arnold             R     R       190     74    
Scott Arnold             R     R       210     74    
Brad Arnsberg            R     R       205     76    
Orie Arntzen             R     R       200     73    
Jake Arrieta             R     R       230     76    
Rolando Arrojo           R     R       215     76    
Christian Arroyo         R     R       210     73    
Rudy Arroyo              L     L       195     74    
Erisbel Arruebarrena     R     R       230     73    
Casper Asbjornson        R     R       196     73    
Cody Asche               L     R       205     73    
Miguel Asencio           R     R       190     74    
Graham Ashcraft          L     R       248     74    
Alec Asher               R     R       240     76    
Tucker Ashford           R     R       195     73    
Billy Ashley             R     R       220     79    
Nevin Ashley             R     R       245     73    
Javier Assad             R     R       200     73    
Paul Assenmacher         L     L       195     75    
Ezequiel Astacio         R     R       200     75    
Barrett Astin            R     R       225     73    
Scott Atchison           R     R       200     74    
Justin Atchley           L     L       215     75    
Keith Atherton           R     R       200     76    
Luis Atilano             R     R       220     74    
Garrett Atkins           R     R       190     74    
James Atkins             L     R       205     75    
Mitch Atkins             R     R       225     76    
Derek Aucoin             R     R       235     79    
Bryan Augenstein         R     R       230     78    
Don August               R     R       190     75    
Elden Auker              R     R       194     74    
Doug Ault                R     L       200     75    
Phillippe Aumont         L     R       265     79    
Joe Ausanio              R     R       205     73    
Jim Austin               R     R       200     74    
Rick Austin              R     L       190     76    
Tyler Austin             R     R       220     74    
Al Autry                 R     R       225     77    
Luis Avilan              L     L       235     74    
John Axford              R     R       234     77    
Bobby Ayala              R     R       190     74    
Luis Ayala               R     R       205     74    
Bob Ayrault              R     R       230     76    
Joe Ayrault              R     R       190     75    
Bob Babcock              R     R       210     77    
Sam Bachman              R     R       235     73    
Mike Bacsik              L     L       225     74    
Dakota Bacus             R     R       212     74    
Akil Baddoo              L     L       214     73    
Burke Badenhop           R     R       205     77    
Ed Baecht                R     R       195     75    
Cha-Seung Baek           R     R       190     76    
Danys Baez               R     R       225     75    
Michel Baez              R     R       220     80    
Sandy Baez               R     R       219     74    
Andrew Bailey            R     R       240     75    
Ed Bailey                L     R       205     74    
Homer Bailey             R     R       223     76    
Jeff Bailey              R     R       200     74    
Jim Bailey               B     L       210     74    
Mark Bailey              B     R       195     77    
Steve Bailey             R     R       194     73    
Bob Baird                L     L       195     76    
Jeff Baisley             R     R       225     75    
Jeff Bajenaru            R     R       190     73    
Bryan Baker              R     R       235     78    
Jack Baker               R     R       225     77    
Jeff Baker               R     R       220     74    
John Baker               L     R       215     73    
Scott Baker              R     R       215     76    
Paul Bako                L     R       205     74    
Steve Balboni            R     R       225     75    
Rocco Baldelli           R     R       190     76    
Alberto Baldonado        L     L       270     77    
Dave Baldwin             R     R       200     74    
James Baldwin            R     R       210     75    
Reggie Baldwin           R     R       195     73    
John Bale                L     L       210     76    
Wladimir Balentien       R     R       220     74    
Collin Balester          R     R       190     76    
Grant Balfour            R     R       200     74    
Jeff Ballard             L     L       195     75    
Jay Baller               R     R       215     78    
Mark Ballinger           R     R       205     78    
Anthony Banda            L     L       221     74    
Jett Bandy               R     R       235     76    
Jeff Banister            R     R       200     74    
Brian Banks              B     R       200     75    
Josh Banks               R     R       215     75    
Tanner Banks             R     L       210     73    
Willie Banks             R     R       190     73    
Wes Bankston             R     R       215     76    
Brian Bannister          R     R       202     74    
Floyd Bannister          L     L       190     73    
Brandon Bantz            R     R       205     73    
Caleb Baragar            R     L       215     75    
Rod Barajas              R     R       250     74    
Red Barbary              R     R       190     75    
Johnny Barbato           R     R       231     73    
Steve Barber             R     R       190     73    
Lorenzo Barcelo          R     R       230     76    
Curt Barclay             R     R       210     75    
Daniel Bard              R     R       215     76    
Josh Bard                B     R       225     75    
Luke Bard                R     R       200     75    
Jesse Barfield           R     R       200     73    
John Barfield            L     L       195     73    
Kevin Barker             L     L       195     74    
Len Barker               R     R       225     77    
Luke Barker              R     R       230     75    
Richie Barker            R     R       210     74    
Sean Barker              R     R       220     75    
Andy Barkett             L     L       205     73    
Joe Barlow               R     R       210     74    
Mike Barlow              L     R       210     78    
Scott Barlow             R     R       210     75    
Clint Barmes             R     R       200     73    
Babe Barna               L     R       210     74    
Brandon Barnes           R     R       210     74    
Charlie Barnes           L     L       190     74    
Danny Barnes             L     R       215     73    
Frank Barnes             L     L       195     74    
Jacob Barnes             R     R       231     74    
John Barnes              R     R       205     74    
Larry Barnes             L     L       195     73    
Matt Barnes              R     R       208     76    
Scott Barnes             L     L       200     76    
Tony Barnette            R     R       190     73    
Ed Barnowski             R     R       195     74    
Bob Barr                 R     R       192     73    
Jim Barr                 R     R       205     75    
Steve Barr               L     L       200     76    
Kyle Barraclough         R     R       229     75    
Jose Barrero             R     R       211     74    
Aaron Barrett            R     R       230     75    
Jake Barrett             R     R       240     76    
Jaime Barria             R     R       210     73    
Jose Barrios             R     R       195     76    
Jeff Barry               B     R       190     73    
Kevin Barry              R     R       235     74    
Rich Barry               R     R       205     76    
Joey Bart                R     R       238     74    
Jimmy Barthmaier         R     R       205     77    
Brian Barton             R     R       190     75    
Shawn Barton             R     L       195     75    
Dave Bartosch            R     R       190     73    
Chris Basak              R     R       190     74    
Anthony Bass             R     R       205     74    
Brian Bass               R     R       215     74    
Norm Bass                R     R       205     75    
Randy Bass               L     R       210     73    
Chris Bassitt            R     R       215     77    
Rich Batchelor           R     R       195     73    
John Bateman             R     R       210     75    
Aaron Bates              R     R       230     76    
Del Bates                L     R       195     74    
Bill Bathe               R     R       200     74    
Miguel Batista           R     R       210     73    
Rafael Batista           L     L       195     73    
Peyton Battenfield       R     R       240     76    
Earl Battey              R     R       205     73    
Chris Batton             R     R       195     76    
Brett Baty               L     R       211     75    
Rick Bauer               R     R       215     78    
Trevor Bauer             R     R       205     73    
Russ Bauers              L     R       195     75    
Mike Baumann             R     R       240     76    
John Baumgartner         R     R       190     73    
George Bausewine                       207     74    
Ed Bauta                 R     R       200     75    
Denny Bautista           R     R       190     77    
Felix Bautista           R     R       285     80    
Gerson Bautista          R     R       195     75    
Rafael Bautista          R     R       194     74    
Jim Baxes                R     R       190     73    
Moose Baxter             L     R       200     74    
Jason Bay                R     R       210     74    
Jonah Bayliss            R     R       200     73    
Don Baylor               R     R       190     73    
Shane Baz                R     R       190     74    
Yorman Bazardo           R     R       230     74    
Brandon Beachy           R     R       220     74    
Dave Beadle              L             200     74    
T. J. Beam               R     R       215     79    
Trey Beamon              L     R       195     75    
Belve Bean               R     R       197     73    
Colter Bean              R     R       255     78    
Billy Beane              R     R       195     76    
Dave Beard               L     R       190     77    
Ralph Beard              R     R       200     77    
Gene Bearden             L     L       198     75    
Gary Beare               R     R       205     76    
Larry Bearnarth          R     R       203     74    
Kevin Bearse             L     L       195     74    
Chris Beasley            R     R       190     74    
Jeremy Beasley           R     R       235     74    
Pedro Beato              R     R       230     78    
Jim Beattie              R     R       210     77    
Jim Beauchamp            R     R       190     74    
Blake Beavan             R     R       255     79    
Johnny Beazley           R     R       190     73    
Steve Bechler            R     R       207     74    
Boom-Boom Beck           R     R       200     74    
Chad Beck                R     R       250     76    
Chris Beck               R     R       230     75    
Rich Beck                B     R       190     75    
Rod Beck                 R     R       215     73    
Heinz Becker             B     R       200     74    
Glenn Beckert            R     R       190     73    
Josh Beckett             R     R       230     77    
Robbie Beckett           R     L       240     77    
Joe Beckwith             L     R       200     75    
Erik Bedard              L     L       195     73    
Phil Bedgood             R     R       218     75    
David Bednar             L     R       250     73    
Cam Bedrosian            R     R       225     73    
Steve Bedrosian          R     R       200     75    
Fred Beebe               R     R       190     73    
Matt Beech               L     L       190     74    
Tyler Beede              R     R       216     74    
Dallas Beeler            R     R       225     77    
Andy Beene               R     R       205     75    
Joe Beimel               L     L       205     75    
Kevin Beirne             L     R       210     76    
Tim Belcher              R     R       210     75    
Mike Belfiore            R     L       220     75    
Bo Belinsky              L     L       191     74    
Ronald Belisario         R     R       240     75    
Matt Belisle             R     R       230     75    
Todd Belitz              L     L       218     73    
Jeff Beliveau            L     L       190     73    
Tim Belk                 R     R       200     75    
Bill Bell                R     R       200     75    
Chad Bell                R     L       200     75    
Derek Bell               R     R       200     74    
Gary Bell                R     R       196     73    
George Bell              R     R       190     73    
Gus Bell                 L     R       190     73    
Heath Bell               R     R       235     75    
Jerry Bell               B     R       190     76    
Josh Bell                B     R       230     74    
Josh Bell                B     R       261     76    
Mike Bell                R     R       195     74    
Rob Bell                 R     R       225     77    
Trevor Bell              L     R       205     74    
Andrew Bellatti          R     R       190     73    
Albert Belle             R     R       190     73    
Mark Bellhorn            B     R       195     73    
Clay Bellinger           R     R       195     75    
Cody Bellinger           L     L       203     76    
Duane Below              L     L       210     75    
Brandon Belt             L     L       230     75    
Carlos Beltran           B     R       215     73    
Francis Beltran          R     R       255     78    
Omar Beltre              R     R       230     75    
Anthony Bemboom          L     R       195     74    
Johnny Bench             R     R       197     73    
Anthony Bender           R     R       205     76    
Alan Benes               R     R       215     77    
Andy Benes               R     R       235     78    
Yamil Benitez            R     R       195     74    
Mike Benjamin            R     R       195     75    
Stan Benjamin            R     R       194     74    
Wes Benjamin             R     L       210     74    
Dave Bennett             R     R       195     77    
Dennis Bennett           L     L       192     75    
Erik Bennett             R     R       205     74    
Jeff Bennett             R     R       200     75    
Shayne Bennett           R     R       200     77    
Joaquin Benoit           R     R       250     76    
Joe Benson               R     R       205     73    
Kris Benson              R     R       190     76    
Will Benson              L     L       230     77    
Al Benton                R     R       215     76    
Butch Benton             R     R       190     73    
Rube Benton              R     L       190     73    
Chad Bentz               R     L       215     74    
Joe Benz                 R     R       196     73    
Bruce Berenyi            R     R       205     75    
Justin Berg              R     R       225     75    
Travis Bergen            L     L       223     73    
Wally Berger             R     R       198     74    
Brad Bergesen            L     R       210     74    
Christian Bergman        R     R       195     73    
Dusty Bergman            L     L       200     77    
Sean Bergman             R     R       205     76    
Jason Bergmann           R     R       220     75    
Lance Berkman            B     L       220     73    
Roger Bernadina          L     L       210     74    
Wynton Bernard           R     R       195     74    
Adam Bernero             R     R       205     76    
Bill Bernhard            B     R       205     73    
Quintin Berry            L     L       195     73    
Andres Berumen           R     R       210     74    
Fred Besana              R     L       200     75    
Bob Bescher              B     L       200     73    
Herman Besse             L     L       190     74    
Karl Best                R     R       190     76    
Dellin Betances          R     R       265     80    
Rafael Betancourt        R     R       215     74    
Wilson Betemit           B     R       220     74    
Christian Bethancourt    R     R       205     75    
Alec Bettinger           R     R       210     74    
Hal Bevan                R     R       198     74    
Bill Bevens              R     R       210     75    
Jason Beverlin           L     R       220     77    
Brian Bevil              R     R       190     75    
Terry Bevington          R     R       190     74    
Joe Biagini              R     R       230     76    
Jim Bibby                R     R       235     77    
Tanner Bibee             R     R       205     74    
Austin Bibens-Dirkx      R     R       210     73    
Dante Bichette           R     R       215     75    
Phil Bickford            R     R       200     76    
Jesse Biddle             L     L       220     77    
Rocky Biddle             R     R       230     75    
Shane Bieber             R     R       200     75    
Brandon Bielak           L     R       208     74    
Mike Bielecki            R     R       195     75    
Nick Bierbrodt           L     L       215     77    
Randor Bierd             R     R       190     76    
Larry Bigbie             L     R       190     76    
Cavan Biggio             L     R       200     74    
Larry Biittner           L     L       205     74    
Jim Bilbrey              R     R       205     74    
Steve Bilko              R     R       230     73    
Jack Billingham          R     R       195     76    
Dick Billings            R     R       195     73    
Brent Billingsley        L     L       200     74    
Chad Billingsley         R     R       240     73    
Greg Bird                L     R       220     75    
Jake Bird                R     R       200     75    
Kyle Bird                L     L       220     75    
Mike Birkbeck            R     R       190     73    
Tim Birtsas              L     L       240     79    
Joe Bisenius             R     R       210     76    
Charlie Bishop           R     R       195     74    
Hiram Bithorn            R     R       200     73    
Brian Bixler             R     R       195     73    
George Bjorkman          R     R       190     74    
Ty Blach                 R     L       215     73    
Bud Black                R     R       197     75    
Joe Black                R     R       220     74    
Ray Black                R     R       230     75    
Vic Black                R     R       210     76    
Nick Blackburn           R     R       240     76    
Paul Blackburn           R     R       196     73    
Travis Blackley          L     L       190     75    
Charlie Blackmon         L     L       221     75    
Ewell Blackwell          R     R       195     78    
Aaron Blair              R     R       220     77    
Carson Blair             R     R       210     74    
Casey Blake              R     R       205     74    
Hank Blalock             L     R       192     73    
Johnny Blanchard         L     R       193     73    
Gil Blanco               L     L       205     77    
Tony Blanco              R     R       200     74    
Nate Bland               L     L       190     77    
Matt Blank               L     L       200     74    
Kyle Blanks              R     R       265     78    
Joe Blanton              R     R       225     75    
Jabari Blash             R     R       235     77    
Steve Blateric           R     R       200     75    
Ron Blazier              R     R       215     78    
JJ Bleday                L     L       205     74    
Curt Blefary             L     R       195     74    
Jeremy Bleich            L     L       215     74    
Richard Bleier           L     L       215     75    
Scott Blewett            R     R       245     78    
Terry Blocker            L     L       195     74    
Ron Blomberg             L     R       195     73    
Greg Blosser             L     L       200     75    
Mike Blowers             R     R       190     74    
Bert Blue                R     R       200     75    
Jim Bluejacket           R     R       200     74    
Geoff Blum               B     R       220     75    
Bert Blyleven            R     R       200     75    
Charlie Boardman         L     R       194     74    
John Boccabella          R     R       195     73    
Bruce Bochte             L     L       195     75    
Doug Bochtler            R     R       205     75    
Brett Bochy              R     R       200     74    
Bruce Bochy              R     R       205     75    
Randy Bockus             L     R       190     74    
Len Boehmer              R     R       192     73    
Brennan Boesch           L     L       225     76    
Joe Boever               R     R       200     73    
Xander Bogaerts          R     R       218     74    
Tim Bogar                R     R       198     74    
John Bogart              R     R       195     74    
Mitchell Boggs           R     R       235     76    
Tommy Boggs              R     R       195     74    
Wade Boggs               L     R       190     74    
Warren Bogle             L     L       220     76    
Brian Bogusevic          L     L       215     75    
Brian Bohanon            L     L       210     74    
Alec Bohm                R     R       218     77    
T. J. Bohn               R     R       200     77    
Ronald Bolanos           R     R       230     74    
Bill Bolden              R     R       200     76    
Don Bollweg              L     L       190     73    
Mike Bolsinger           R     R       215     73    
Skye Bolt                B     R       194     74    
Cecil Bolton             L     L       195     76    
Cody Bolton              R     R       230     75    
Rod Bolton               R     R       190     74    
Walt Bond                L     R       228     79    
Bobby Bonds              R     R       190     73    
Bill Bonham              R     R       190     75    
Tiny Bonham              R     R       215     74    
Bobby Bonilla            B     R       210     75    
Eddie Bonine             R     R       220     77    
Barry Bonnell            R     R       190     75    
Bill Bonness             R     L       200     76    
Boof Bonser              R     R       245     76    
Chris Booker             R     R       230     75    
Greg Booker              R     R       230     78    
Aaron Boone              R     R       190     74    
Bob Boone                R     R       195     74    
Dan Boone                R     R       190     74    
Chris Bootcheck          R     R       210     77    
Josh Booty               R     R       210     75    
John Boozer              R     R       205     75    
Pedro Borbon             R     L       205     73    
Joe Borchard             B     R       230     76    
Pat Borders              R     R       190     74    
Rich Bordi               R     R       210     79    
Glenn Borgmann           R     R       210     76    
Paul Boris               R     R       200     74    
Dave Borkowski           R     R       200     73    
Joe Borowski             R     R       225     74    
Ryan Borucki             L     L       210     76    
J. C. Boscan             R     R       215     74    
Wilfredo Boscan          R     R       228     74    
Buddy Boshers            L     L       222     75    
Chris Bosio              R     R       220     75    
Shawn Boskie             R     R       205     75    
Dick Bosman              R     R       205     74    
Akeem Bostick            R     R       240     78    
Ricky Bottalico          L     R       200     73    
Kent Bottenfield         R     R       225     75    
Jason Botts              B     R       250     77    
Sean Bouchard            R     R       215     75    
Denis Boucher            R     L       195     73    
Justin Bour              L     R       270     76    
Steve Bourgeois          R     R       205     73    
Peter Bourjos            R     R       190     73    
James Bourque            R     R       215     76    
Ben Bowden               L     L       249     76    
Michael Bowden           R     R       215     75    
Rob Bowen                B     R       210     74    
Frank Bowerman           R     R       190     74    
Brent Bowers             L     R       200     75    
Cedrick Bowers           B     L       220     74    
Shane Bowers             R     R       215     76    
John Bowker              L     L       205     73    
Brian Bowles             R     R       220     77    
Abe Bowman               R     R       190     73    
Bob Bowman               R     R       195     73    
Joe Bowman               L     R       190     74    
Ted Bowsfield            R     L       190     73    
Travis Bowyer            R     R       210     75    
Gary Boyd                R     R       200     76    
Matt Boyd                L     L       223     75    
Blaine Boyer             R     R       235     75    
Ken Boyer                R     R       190     73    
Doe Boyland              L     L       200     76    
Eddie Boyle              R     R       200     75    
Jack Boyle               R     R       190     76    
Marshall Boze            R     R       214     73    
Gene Brabender           R     R       225     77    
Brad Brach               R     R       215     78    
Andrew Brackman          R     R       230     82    
Zach Braddock            L     L       220     74    
Chad Bradford            R     R       205     77    
Chase Bradford           R     R       225     73    
Cody Bradford            L     L       197     76    
Larry Bradford           R     L       200     73    
Vic Bradford             R     R       190     74    
Kyle Bradish             R     R       215     75    
Archie Bradley           R     R       215     76    
Bert Bradley             B     R       190     73    
Bobby Bradley            L     R       225     73    
Jed Bradley              L     L       225     75    
Ryan Bradley             R     R       220     76    
Taj Bradley              R     R       190     74    
Joe Bradshaw             R     R       200     74    
Glenn Braggs             R     R       210     75    
Erv Brame                L     R       190     74    
Ralph Branca             R     R       220     75    
Norm Branch              R     R       200     75    
Darrell Brandon          R     R       200     74    
Ed Brandt                L     L       190     73    
Dud Branom               L     L       190     73    
Cliff Brantley           R     R       190     74    
Michael Brantley         L     L       209     74    
Russell Branyan          L     R       235     76    
John Braun               R     R       218     77    
Ryan Braun               R     R       220     73    
Ryan Braun               R     R       205     74    
Bill Bray                L     L       215     75    
Ben Braymer              L     L       212     74    
Craig Brazell            L     R       210     75    
Dewon Brazelton          R     R       215     76    
Yhency Brazoban          R     R       250     73    
Sid Bream                L     L       215     76    
Jim Breazeale            L     R       210     74    
John Brebbia             L     R       200     73    
Brent Brede              L     L       190     76    
Hal Breeden              R     L       200     74    
Bob Brenly               R     R       210     74    
Brandon Brennan          R     R       207     76    
William Brennan          R     R       200     75    
Jake Brentz              L     L       205     73    
Charles Brewer           R     R       210     75    
Colten Brewer            R     R       222     76    
Mike Brewer              R     R       190     77    
Rod Brewer               L     L       210     75    
Alan Brice               R     R       215     77    
Austin Brice             R     R       238     76    
Jose Briceno             R     R       225     73    
Ralph Brickner           R     R       215     75    
Beau Brieske             R     R       200     75    
John Briggs              L     L       190     73    
Jake Brigham             R     R       210     75    
Reid Brignac             B     R       197     74    
Brad Brink               R     R       195     74    
Bill Brinker             B     R       190     73    
Lewis Brinson            R     R       212     77    
Lou Brissie              L     L       210     76    
Bernardo Brito           R     R       190     73    
Jhony Brito              R     R       210     74    
Jorge Brito              R     R       190     73    
Socrates Brito           L     L       205     74    
Chris Britton            R     R       275     75    
Drake Britton            L     L       215     74    
Jim Britton              R     R       225     77    
Zack Britton             L     L       200     73    
Tony Brizzolara          R     R       215     77    
Lance Broadway           R     R       210     74    
Mike Broadway            R     R       215     77    
Pete Broberg             R     R       205     75    
Doug Brocail             L     R       220     77    
Greg Brock               L     R       200     75    
Brian Broderick          R     R       205     78    
Connor Brogdon           R     R       205     78    
Ernie Broglio            R     R       200     74    
Rico Brogna              L     L       205     74    
Troy Brohawn             L     L       190     73    
Ken Brondell             R     R       195     73    
Jeff Bronkey             R     R       215     75    
Jim Bronstad             R     R       196     75    
Aaron Brooks             R     R       230     76    
Frank Brooks             L     L       190     73    
Scott Brosius            R     R       200     73    
Jim Brosnan              R     R       197     76    
Terry Bross              R     R       234     81    
Mark Brouhard            R     R       210     73    
Ben Broussard            L     L       220     74    
Dan Brouthers            L     L       207     74    
Joe Brovia               L     R       195     75    
Scott Brow               R     R       200     75    
Jim Brower               R     R       205     74    
Alton Brown              R     R       195     74    
Andrew Brown             R     R       230     78    
Bobby Brown              B     R       190     74    
Brant Brown              L     L       220     75    
Brooks Brown             L     R       205     75    
Clint Brown              L     R       190     73    
Corey Brown              L     L       200     73    
Curt Brown               R     R       200     77    
Domonic Brown            L     L       225     77    
Eddie Brown              R     R       190     75    
Emil Brown               R     R       195     74    
Gary Brown               R     R       190     73    
Hunter Brown             R     R       212     74    
Jackie Brown             R     R       195     73    
Jake Brown               R     R       200     74    
Jamie Brown              R     R       200     74    
Jophery Brown            L     R       190     74    
Jumbo Brown              R     R       295     76    
Keith Brown              B     R       215     76    
Kevin Brown              R     R       195     76    
Kevin Brown              R     R       200     74    
Mace Brown               R     R       190     73    
Mark Brown               B     R       190     74    
Marty Brown              R     R       190     73    
Mike Brown               R     R       195     74    
Paul Brown               R     R       190     73    
Ray Brown                B     R       195     73    
Scott Brown              R     R       220     74    
Seth Brown               L     L       223     73    
Steve Brown              R     R       200     77    
Stub Brown                     L       220     74    
Tom Brown                B     L       190     73    
Trevor Brown             R     R       193     74    
William Brown            R     R       190     74    
Byron Browne             R     R       190     74    
Pidge Browne             L     L       190     73    
Barret Browning          L     L       230     74    
Tom Browning             L     L       190     73    
Jonathan Broxton         R     R       285     76    
Keon Broxton             R     R       200     75    
Bruce Brubaker           R     R       198     73    
Bob Bruce                R     R       200     75    
Jay Bruce                L     L       230     75    
Earle Brucker            L     R       210     74    
Mike Bruhert             R     R       220     78    
